iter	Passed	Remaining
0	2	870
1	3	693
2	5	613
3	6	588
4	8	560
5	9	568
6	12	613
7	14	633
8	16	630
9	18	625
10	19	606
11	21	592
12	22	578
13	23	571
14	25	565
15	27	566
16	28	557
17	29	548
18	30	538
19	32	532
20	33	524
21	34	518
22	36	517
23	37	514
24	39	509
25	40	504
26	41	498
27	42	492
28	44	487
29	45	484
30	46	481
31	48	482
32	49	480
33	51	478
34	52	475
35	54	471
36	55	467
37	56	464
38	58	465
39	60	468
40	62	468
41	63	466
42	65	465
43	66	462
44	68	460
45	69	458
46	72	464
47	73	463
48	74	460
49	76	456
50	77	453
51	78	451
52	79	447
53	81	444
54	82	441
55	83	439
56	85	437
57	86	437
58	88	434
59	89	432
60	90	428
61	91	426
62	93	424
63	94	422
64	95	418
65	96	416
66	98	414
67	99	413
68	101	412
69	102	411
70	104	409
71	105	407
72	107	406
73	108	406
74	110	404
75	111	402
76	113	400
77	114	399
78	116	397
79	117	395
80	118	393
81	119	392
82	121	390
83	122	388
84	124	387
85	125	386
86	127	385
87	129	384
88	130	382
89	131	380
90	132	378
91	134	376
92	135	375
93	137	373
94	138	371
95	139	369
96	141	368
97	142	366
98	143	364
99	145	363
100	146	362
101	148	360
102	149	358
103	151	357
104	152	356
105	154	354
106	155	353
107	156	351
108	158	349
109	165	360
110	168	362
111	169	360
112	183	385
113	186	385
114	187	383
115	189	381
116	190	379
117	191	376
118	192	374
119	194	372
120	195	370
121	196	367
122	197	365
123	199	362
124	200	360
125	201	357
126	202	355
127	203	353
128	205	351
129	207	350
130	208	349
131	209	346
132	211	344
133	212	342
134	213	340
135	215	338
136	216	336
137	217	333
138	218	331
139	220	330
140	221	328
141	222	326
142	223	324
143	225	322
144	226	320
145	227	318
146	228	316
147	230	314
148	231	312
149	232	310
150	234	308
151	235	306
152	236	304
153	238	302
154	239	301
155	241	299
156	242	298
157	244	297
158	246	295
159	247	294
160	249	292
161	250	290
162	251	288
163	253	287
164	254	285
165	255	283
166	256	281
167	257	279
168	259	277
169	260	276
170	262	274
171	263	272
172	264	270
173	265	268
174	267	267
175	268	265
176	269	263
177	270	261
178	271	259
179	272	257
180	274	256
181	275	254
182	276	252
183	277	250
184	279	248
185	280	247
186	281	245
187	282	243
188	283	241
189	284	239
190	285	238
191	287	236
192	288	234
193	289	233
194	291	231
195	292	229
196	293	227
197	294	226
198	295	224
199	297	222
200	298	221
201	299	219
202	300	217
203	301	216
204	303	214
205	304	212
206	305	210
207	306	209
208	308	207
209	309	206
210	310	204
211	312	203
212	313	201
213	314	199
214	315	198
215	316	196
216	317	194
217	319	193
218	320	191
219	321	189
220	322	188
221	323	186
222	324	185
223	326	183
224	327	181
225	328	180
226	329	178
227	331	177
228	332	175
229	333	174
230	335	172
231	336	171
232	338	169
233	339	168
234	340	166
235	341	165
236	343	163
237	344	162
238	345	160
239	347	159
240	348	157
241	350	156
242	351	154
243	352	153
244	353	151
245	354	150
246	356	148
247	357	146
248	358	145
249	359	143
250	360	142
251	361	140
252	362	139
253	364	137
254	365	136
255	366	134
256	367	133
257	369	131
258	370	130
259	371	128
260	372	127
261	373	125
262	375	124
263	376	122
264	377	121
265	378	119
266	380	118
267	381	116
268	382	115
269	383	113
270	385	112
271	386	110
272	387	109
273	388	107
274	389	106
275	390	104
276	392	103
277	393	101
278	394	100
279	395	98
280	397	97
281	398	96
282	399	94
283	401	93
284	402	91
285	404	90
286	405	88
287	406	87
288	407	86
289	409	84
290	410	83
291	411	81
292	413	80
293	414	78
294	415	77
295	417	76
296	418	74
297	419	73
298	421	71
299	422	70
300	423	68
301	424	67
302	426	66
303	427	64
304	428	63
305	429	61
306	431	60
307	432	58
308	433	57
309	434	56
310	436	54
311	437	53
312	438	51
313	440	50
314	441	49
315	442	47
316	443	46
317	445	44
318	446	43
319	447	41
320	448	40
321	450	39
322	451	37
323	453	36
324	454	34
325	455	33
326	456	32
327	457	30
328	459	29
329	460	27
330	461	26
331	462	25
332	463	23
333	465	22
334	466	20
335	467	19
336	469	18
337	470	16
338	471	15
339	472	13
340	473	12
341	475	11
342	476	9
343	477	8
344	478	6
345	480	5
346	481	4
347	482	2
348	484	1
349	485	0
